Sample Date,Latitude,Longitude,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,nir,green,swir16,swir22,NDMI,MNDWI,pet
16-08-2011,-24.679167,30.8025,76.504,190.7,10,12245,9505.5,14908.5,13718,-0.09809048557,-0.2213074465,151.40001
16-08-2011,-25.127778,27.628889,186.246,655,163,,,,,,,187.5
16-08-2011,-25.20639,27.558,153.009,732,11,,,,,,,185.90001
16-08-2011,-24.69514,27.40906,209.027,795,68,14325,9934.5,12063,10486.5,0.08572078217,-0.09676099557,187.7
16-08-2011,-27.169444,29.233889,146.404,361,44,15208,11403,19998.5,16139,-0.1360686237,-0.273728962,162
16-08-2011,-26.648056,27.089444,268.266,662,10,15866,10787,19134,15161,-0.09337142857,-0.2789679489,179.7
16-08-2011,-29.160278,26.573333,280.672,724,10,12394,10035,14834,12839.5,-0.08961363302,-0.1929711689,200
16-08-2011,-33.38056,19.30167,23.974,224.2,10,13710,9626.5,13975,11866,-0.009571970381,-0.184246764,206.7
16-08-2011,-33.31388889,19.07472222,26.346,162.2,10,12173,8623.5,10821.5,9300,0.05877492444,-0.1130367704,216.90001
16-08-2011,-27.495556,26.074722,251.234,750,10,15303,11092,19447.5,15285,-0.119264471,-0.2735964898,200.7
17-08-2011,-29.161667,23.696389,110.835,218.6,13,8863,11616,7733,7632,0.06808869607,0.2006822058,226.6
17-08-2011,-22.769722,30.886944,52.971,140.6,10,13537,9641,14756,11988,-0.04308486198,-0.209656925,174.6
17-08-2011,-24.058889,31.237222,175.877,528,10,,,,,,,171.8
17-08-2011,-28.75,30.442778,81.796,201.3,10,12977,10939,13578,11925.5,-0.02263227264,-0.107639597,166.6
17-08-2011,-29.161667,30.629722,7.586,117.1,10,12397.5,9644.5,15341,14016,-0.1061160481,-0.2279922355,144.3
17-08-2011,-27.802778,28.768333,81.311,258.4,10,12340,10508,13844,11792,-0.05743965781,-0.1369908016,162.6
17-08-2011,-29.033333,23.983333,184.507,1001,21,13288.5,10879,13792,12291.5,-0.01859271431,-0.1180738519,221.90001
06-04-2011,-33.980556,21.653333,216.778,721,26,11814,10721,10788,9878,0.0453942129,-0.003114975127,164.5
17-08-2011,-33.980556,21.653333,204.185,1098,17,12861.5,10435.5,13225.5,11504.5,-0.01395331008,-0.1179155572,178.8
27-09-2011,-33.980556,21.653333,159.642,1098,10,12861.5,10435.5,13225.5,11504.5,-0.01395331008,-0.1179155572,178.8
25-10-2011,-33.980556,21.653333,361.109,1098,20,12861.5,10435.5,13225.5,11504.5,-0.01395331008,-0.1179155572,178.8
29-11-2011,-33.980556,21.653333,170.069,1098,16,16010,10376,15027,12050,0.0316718755,-0.1830886116,178.8
15-02-2012,-33.980556,21.653333,155.991,1098,10,16010,10376,15027,12050,0.0316718755,-0.1830886116,157.40001
18-04-2012,-33.980556,21.653333,148.236,1098,34,16059.5,10229,15053,11784.5,0.0323503415,-0.1908076893,157.40001
16-05-2012,-33.980556,21.653333,191.603,1098,10,16059.5,10229,15053,11784.5,0.0323503415,-0.1908076893,157.40001
12-06-2012,-33.980556,21.653333,164.799,1098,16,16059.5,10229,15053,11784.5,0.0323503415,-0.1908076893,157.40001
05-07-2012,-33.980556,21.653333,168.335,1098,10,13138,9730,12492,10852.5,0.02520483808,-0.1242912429,157.40001
07-08-2012,-33.980556,21.653333,149.452,1098,10,13138,9730,12492,10852.5,0.02520483808,-0.1242912429,176.5
